year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,highest_grade_offered,elem_cedp,middle_cedp,high_cedp,enrollment,gleaid,school_id,geo_longitude,geo_latitude,leaid,geocode_accuracy,geocode_accuracy_detailed,state_leaid,state_fips_geo,county_fips_geo,seasch,street_mailing,puma,tract,city_mailing,state_mailing,block_group,geoid_block,zip_mailing,street_location,census_region,census_division,city_location,csa,cbsa,zip_location,phone,cbsa_name,cbsa_type,fips,latitude,cbsa_city,place_fips,longitude,geoid_place,place_name,urban_centric_locale,class_code,upper_chamber,county_code,congress_district_id,state_leg_district_upper,upper_chamber_name,state_leg_district_lower,lower_chamber,lower_chamber_name,lower_chamber_type,sch_internet_fiber,sch_internet_wifi,sch_internet_schdev,sch_internet_studdev,sch_internet_wifiendev,students_chronically_absent,enrl_IB,enrl_gifted_talented,enrl_AP,enrl_AP_science,enrl_AP_math,enrl_AP_other,students_AP_exam_none,students_AP_exam_oneormore,students_AP_pass_none,students_AP_pass_oneormore,enrl_dual_enrollment,students_SAT_ACT,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,days_suspended,suspensions_instances,suspensions_instances_preschool,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,corpinstances,corpinstances_preschool,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,cohort_num,grad_rate_midpt,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,teachers_absent_fte,instructional_aides_fte,counselors_fte,support_fte,social_workers_fte,administration_fte,psychologists_fte,nurses_fte,law_enforcement_fte,security_guard_fte,law_enforcement_ind,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,lowest_grade_offered,lunch_program,teachers_fte,school_status,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual
mixed - most recent,"080234000082","Aurora West College Preparatory Academy","CO","Aurora Joint District No. 28 of the counties of Adams and A","High","Regular school","No","12","No","Yes","Yes","1033","02340","0800082","-104.8706","39.736","0802340","Not applicable","Point address","CO-0180","Colorado","8005","0180-9396","10100 EAST 13TH AVE","00810","7202","AURORA","CO","2","080050072022","80010","10100 EAST 13TH AVE","West","Mountain","AURORA","216","19740","80010","(303)366-2671","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.736","Yes","4000","-104.8706","0804000","Aurora city","City, large","Governmentally active (incorporated)","08029","8005","806","08029","State Senate District 29","08042","08042","State House District 42","State house district","Yes","Yes","Yes","No","1217","","","","","","","","36","9","11","4","","98","104","93","63","","","110","","9","31","56","302.000","155.000","-2.000","2","0","0","Missing/not reported","-1.000","-1.000","0","2","0.000","","","","","","","61.000","60.030","1.000","0.000","0.000","66.000","37.000","16.000","3.440","3.000","17.000","0.000","4.070","0.380","1.000","0.000","0.000","No","2976391","4224955.000","2895401","103851.602","818002.312","326710.000","933439.000","6","Yes participating without using any Provision or the CEP","49","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080264000159","Avery/Parsons Elementary School","CO","Buena Vista School District No. R-31","Primary","Regular school","No","5","Yes","No","No","435","02640","0800159","-106.126921","38.844413","0802640","Not applicable","Street address","CO-0490","Colorado","8015","0490-4306","P O BOX 2027","01000","402","BUENA VISTA","CO","1","080150004021","81211","516 EAST MAIN STREET","West","Mountain","BUENA VISTA","Not applicable","Not applicable","81211","(719)395-7020","","","Colorado","38.844413","No","10105","-106.126921","0810105","Buena Vista town","Rural, fringe","Governmentally active (incorporated)","08005","8015","805","08005","State Senate District 5","08060","08060","State House District 60","State house district","Yes","Yes","Yes","No","3","","","","","","","","","","","","","0","","","","","","","","6","2","1","5.000","4.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","30.000","30.250","0.000","3.000","2.000","31.000","29.000","5.000","18.790","1.120","6.780","0.000","2.000","0.000","0.920","0.000","0.000","No","1269750","1655495.125","1144836","194619.172","70343.000","120783.000","69797.000","Pre-K","Yes participating without using any Provision or the CEP","27","Open","","School is eligible for Title I Targeted Assistance (TAS) and provides TAS program","Yes","","No","No","No"
mixed - most recent,"080354001530","Avon Elementary School","CO","Eagle County School District No. Re 50","Primary","Regular school","No","5","Yes","No","No","296","03540","0801530","-106.5338","39.6384","0803540","Not applicable","Street address","CO-0910","Colorado","8037","0910-0471","P O BOX 7567","00700","503","AVON","CO","2","080370005032","81620","805 WEST BEAVER CREEK","West","Mountain","AVON","233","20780","81620","(970)328-2950","Edwards, CO","Micropolitan statistical area","Colorado","39.6384","No","4110","-106.5338","0804110","Avon town","Town, remote","Governmentally active (incorporated)","08008","8037","802","08005","State Senate District 8","08026","08056","State House District 56","State house district","Yes","Yes","Yes","No","309","","","","","","","","","","","","","0","","","","","","","","23","1","0","1.000","1.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","21.000","21.930","0.000","4.000","2.000","27.000","25.000","2.000","0.170","0.000","1.110","0.190","2.690","0.260","0.000","0.000","0.000","No","905597","1191499.125","948064","6062.060","88139.758","191700.234","204089.000","Pre-K","Yes participating without using any Provision or the CEP","26","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080615001069","Avondale Elementary School","CO","Pueblo County School District 70","Primary","Regular school","No","5","Yes","No","No","144","06150","0801069","-104.3476","38.2377","0806150","Not applicable","Point address","CO-2700","Colorado","8101","2700-0472","213 HIGHWAY 50 EAST","00501","3200","AVONDALE","CO","3","081010032003","81022","213 HIGHWAY 50 EAST","West","Mountain","AVONDALE","444","39380","81022","(719)947-3484","Pueblo, CO","Metropolitan statistical area","Colorado","38.2377","No","4165","-104.3476","0804165","Avondale CDP","Rural, distant","Census-designated place","08002","8101","803","08035","State Senate District 2","08047","08047","State House District 47","State house district","Yes","Yes","Yes","No","176","","","","","","","","","","","","","0","","","","","","","","13","1","0","2.000","1.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","14.000","14.720","0.000","0.000","1.000","16.000","15.000","5.000","2.000","0.000","1.000","0.000","1.000","0.200","0.210","0.000","0.000","No","552922","685275.375","1192889","35141.602","22406.801","94511.000","12715.000","Pre-K","Yes participating without using any Provision or the CEP","11","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080002006768","Axis International Academy","CO","State Charter School Institute","Primary","Regular school","Yes","5","Yes","No","No","199","03990","0806768","-105.115909","40.539243","0800020","Not applicable","","CO-8001","Colorado","8069","8001-0493","2700 S. LEMAY AVE","00200","1112","FORT COLLINS","CO","2","080690011122","80525","2130 WEST HORSETOOTH ROAD","West","Mountain","FORT COLLINS","Not applicable","22660","80526","(970)658-4199","Fort Collins-Loveland, CO","Metropolitan statistical area","Colorado","40.539243","Yes","27425","-105.115909","0827425","Fort Collins city","City, midsize","Governmentally active (incorporated)","08014","8069","802","08014","State Senate District 14","08053","08053","State House District 53","State house district","Yes","Yes","Yes","No","230","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-K","Yes participating without using any Provision or the CEP","14","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080234006399","AXL Academy","CO","Aurora Joint District No. 28 of the counties of Adams and A","Primary","Regular school","Yes","8","Yes","Yes","No","356","02340","0806399","-104.824","39.6814","0802340","Not applicable","Point address","CO-0180","Colorado","8005","0180-0213","14100 EAST JEWELL AVENUE","00809","81400","AURORA","CO","1","080050814001","80012","14100 EAST JEWELL AVENUE","West","Mountain","AURORA","216","19740","80012","(303)377-0758","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.6814","Yes","4000","-104.824","0804000","Aurora city","City, large","Governmentally active (incorporated)","08028","8005","806","08028","State Senate District 28","08041","08041","State House District 41","State house district","Yes","Yes","Yes","No","412","","","","","","","","","","","","","0","","","","","","","","7","23","29","186.000","99.000","0.000","0","1","0","Missing/not reported","-1.000","-1.000","0","1","2.000","","","","","","","34.000","30.980","3.380","0.000","0.000","31.000","17.000","1.000","2.140","0.000","2.730","0.000","2.960","0.400","0.000","0.000","0.000","No","1265375","1670451.500","850000","71896.000","88180.000","245000.000","545720.000","Pre-K","Yes participating without using any Provision or the CEP","24","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080669006339","Ayres Elementary School","CO","School District No. Re-1 Valley","Primary","Regular school","No","2","Yes","No","No","382","06690","0806339","-103.2231","40.6081","0806690","Not applicable","Point address","CO-1828","Colorado","8075","1828-0515","1812 ROBIN ROAD","00400","966300","STERLING","CO","1","080759663001","80751","1812 ROBIN ROAD","West","Mountain","STERLING","Not applicable","44540","80751","(970)522-1409","Sterling, CO","Micropolitan statistical area","Colorado","40.6081","Yes","73935","-103.2231","0873935","Sterling city","Town, remote","Governmentally active (incorporated)","08001","8075","804","08001","State Senate District 1","08065","08065","State House District 65","State house district","Yes","Yes","Yes","No","370","","","","","","","","","","","","","0","","","","","","","","5","0","1","9.000","7.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","30.000","30.360","0.000","1.000","0.000","31.000","27.000","1.000","22.500","0.000","0.500","0.140","2.000","0.150","0.140","0.000","0.000","No","1091696","1486636.875","1200222","252923.516","65078.781","76938.141","284365.000","Kindergarten","Yes participating without using any Provision or the CEP","18","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080540000924","B F Kitchen Elementary School","CO","Thompson School District R-2J","Primary","Regular school","No","5","Yes","No","No","187","05400","0800924","-105.0918","40.3746","0805400","Not applicable","Point address","CO-1560","Colorado","8069","1560-0865","915 DEBORAH DRIVE","00102","2008","LOVELAND","CO","2","080690020082","80537","915 DEBORAH DRIVE","West","Mountain","LOVELAND","Not applicable","22660","80537","(970)613-5500","Fort Collins-Loveland, CO","Metropolitan statistical area","Colorado","40.3746","Yes","46465","-105.0918","0846465","Loveland city","Suburb, large","Governmentally active (incorporated)","08015","8069","802","08015","State Senate District 15","08051","08051","State House District 51","State house district","Yes","Yes","Yes","Yes","250","","","","","","","","","","","","","0","","","","","","","","1","0","1","2.000","2.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","15.000","15.430","0.000","0.000","0.100","24.000","18.000","3.770","0.000","0.500","3.950","0.000","2.000","0.400","0.100","0.000","0.000","No","799600","1047540.000","698112","-2.000","129836.000","118104.000","19315.000","Kindergarten","Yes participating without using any Provision or the CEP","16","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080333001893","Backpack Early Learning Academy","CO","Delta County Joint District No. 50","Primary","Regular school","No","Pre-K","Yes","No","No","194","03330","0801893","-108.067192","38.735823","0803330","Not applicable","Point address","CO-0870","Colorado","8029","0870-0489","822 GRAND AVENUE","00600","965100","DELTA","CO","3","080299651003","81416","822 GRAND AVENUE","West","Mountain","DELTA","Not applicable","Not applicable","81416","(970)874-9517","","","Colorado","38.735823","No","19850","-108.067192","0819850","Delta city","Town, distant","Governmentally active (incorporated)","08005","8029","803","08005","State Senate District 5","08054","08054","State House District 54","State house district","Yes","Yes","Yes","Yes","18","","","","","","","","","","","","","0","","","","","","","","Missing/not reported","Missing/not reported","Missing/not reported","-2.000","-2.000","0.000","Missing/not reported","Missing/not reported","Missing/not reported","Missing/not reported","-1.000","-1.000","Missing/not reported","Missing/not reported","0.000","","","","","","","1.000","1.000","0.000","0.000","0.000","1.000","1.000","0.000","-2.000","0.000","-2.000","0.000","-2.000","0.000","0.000","0.000","0.000","No","Not applicable","-2.000","Not applicable","-2.000","-2.000","-2.000","-2.000","Pre-K","Yes participating without using any Provision or the CEP","1","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080399001973","Bacon Elementary School","CO","Poudre School District R-1","Primary","Regular school","No","5","Yes","No","No","420","03990","0801973","-105.0376","40.5037","0803990","Not applicable","Point address","CO-1550","Colorado","8069","1550-0490","5844 SOUTH TIMBERLINE ROAD","00102","1608","FORT COLLINS","CO","1","080690016081","80528","5844 SOUTH TIMBERLINE ROAD","West","Mountain","FORT COLLINS","Not applicable","22660","80528","(970)488-5300","Fort Collins-Loveland, CO","Metropolitan statistical area","Colorado","40.5037","Yes","27425","-105.0376","0827425","Fort Collins city","City, midsize","Governmentally active (incorporated)","08015","8069","802","08014","State Senate District 15","08052","08049","State House District 49","State house district","Yes","Yes","No","No","531","","","","","","","","","","","","","0","","","","","","","","4","1","0","3.000","1.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","34.000","34.800","0.000","1.500","15.300","37.000","35.000","25.000","1.540","0.000","2.200","0.000","3.220","0.000","0.000","0.000","0.000","No","1663481","2133903.000","1567220","71705.172","135806.578","262909.281","89633.000","Pre-K","Yes participating without using any Provision or the CEP","30","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080405006698","Baker Elementary School","CO","School District No. Re-3 Fort Morgan","Primary","Regular school","No","5","Yes","No","No","293","04050","0806698","-103.795971","40.25057","0804050","Not applicable","Point address","CO-2405","Colorado","8087","2405-1009","300 LAKE STREET","00400","500","FORT MORGAN","CO","3","080870005003","80701","300 LAKE STREET","West","Mountain","FORT MORGAN","Not applicable","22820","80701","(970)370-6113","Fort Morgan, CO","Micropolitan statistical area","Colorado","40.25057","Yes","27810","-103.795971","0827810","Fort Morgan city","Town, remote","Governmentally active (incorporated)","08001","8087","804","08001","State Senate District 1","08065","08063","State House District 63","State house district","Yes","Yes","Yes","Yes","288","","","","","","","","","","","","","0","","","","","","","","0","0","0","0.000","0.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","2","0.000","","","","","","","18.000","18.000","0.000","1.000","0.000","20.000","15.000","2.000","2.500","0.500","2.690","0.120","1.880","2.670","0.200","0.000","0.000","No","698289","1065652.375","","36018.820","50167.859","111767.977","1065652.000","1","Yes participating without using any Provision or the CEP","18","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080399006827","Bamford Elementary School","CO","Poudre School District R-1","Primary","Regular school","No","5","Yes","No","No","294","03990","0806827","-104.984984","40.462348","0803990","Not applicable","","CO-1550","Colorado","8069","1550-4359","6055 TRAVERS STAKES STREET","00102","1709","LOVELAND","CO","2","080690017092","80538","6055 TRAVERS STAKES STREET","West","Mountain","LOVELAND","Not applicable","22660","80538","(970)488-8500","Fort Collins-Loveland, CO","Metropolitan statistical area","Colorado","40.462348","Yes","46465","-104.984984","0846465","Loveland city","Rural, fringe","Governmentally active (incorporated)","08015","8069","802","08015","State Senate District 15","08051","08051","State House District 51","State house district","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-K","Yes participating without using any Provision or the CEP","20","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080387002027","Banning Lewis Ranch Academy","CO","El Paso County Colorado School District 49","Other","Regular school","Yes","12","Yes","Yes","Yes","1600","03870","0802027","-104.675167","38.933638","0803870","Not applicable","Point address","CO-1110","Colorado","8041","1110-0555","7094 COTTONWOOD TREE DRIVE","00901","5104","COLORADO SPRINGS","CO","1","080410051041","80927","7094 COTTONWOOD TREE DRIVE","West","Mountain","COLORADO SPRINGS","Not applicable","17820","80927","(719)570-0075","Colorado Springs, CO","Metropolitan statistical area","Colorado","38.933638","Yes","16000","-104.675167","0816000","Colorado Springs city","City, large","Governmentally active (incorporated)","08010","8041","805","08012","State Senate District 10","08015","08015","State House District 15","State house district","Yes","Yes","Yes","Yes","1479","","","","","","","","","","","","","68","70","","","","","","22","20","39","11","130.000","74.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","76.000","73.390","3.430","0.000","0.000","69.000","31.000","2.000","5.500","2.180","17.000","1.110","6.000","0.000","0.000","0.000","0.000","No","2521244","3870405.750","1650365","164509.922","692150.750","492500.125","11813717.000","Kindergarten","Yes participating without using any Provision or the CEP","106","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080336000311","Barnum Elementary School","CO","School District No. 1 in the county of Denver and State of C","Primary","Regular school","No","5","Yes","No","No","331","03360","0800311","-105.0295","39.7177","0803360","Not applicable","Point address","CO-0880","Colorado","8031","0880-0520","85 HOOKER STREET","00816","903","DENVER","CO","1","080310009031","80219","85 HOOKER STREET","West","Mountain","DENVER","216","19740","80219","(720)424-9590","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.7177","Yes","20000","-105.0295","0820000","Denver city","City, large","Governmentally active (incorporated)","08034","8031","801","08034","State Senate District 34","08004","08002","State House District 2","State house district","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","","","","","","","","","","","","","0","","","","","","","","29","2","0","2.000","2.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","31.000","29.950","1.500","0.000","0.000","35.000","24.000","12.000","7.000","0.000","1.000","1.000","1.000","0.000","0.400","0.000","0.000","No","1790638","2060836.000","1518950","145167.000","34228.000","90803.000","265196.000","Pre-K","Yes participating without using any Provision or the CEP","19","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080561000966","Barone Middle School","CO","Meeker School District Re1","Middle","Regular school","No","8","No","Yes","No","168","05610","0800966","-107.9023","40.0426","0805610","Not applicable","Street name","CO-2710","Colorado","8103","2710-5754","P O BOX 690","00101","951100","MEEKER","CO","3","081039511003","81641","BOB TUCKER DRIVE","West","Mountain","MEEKER","Not applicable","Not applicable","81641","(970)878-9060","","","Colorado","40.0426","No","49875","-107.9023","0849875","Meeker town","Rural, remote","Governmentally active (incorporated)","08008","8103","803","08008","State Senate District 8","08057","08057","State House District 57","State house district","No","Yes","Yes","Yes","152","","","","","","","","","","","","","0","","","","","","","","5","6","2","18.000","10.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","9.000","7.000","2.000","0.000","0.000","10.000","9.000","3.000","1.100","0.500","2.500","0.000","1.000","0.330","0.250","0.000","0.000","No","466468","655042.000","364374","19399.000","97358.000","86113.000","119911.000","6","Yes participating without using any Provision or the CEP","9","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080426000582","Basalt Elementary School","CO","Roaring Fork School District No. Re-1","Primary","Regular school","No","4","Yes","No","No","521","04260","0800582","-107.0322","39.3665","0804260","Not applicable","Street address","CO-1180","Colorado","8037","1180-0560","151 EAST COTTONWOOD DRIVE","00700","302","BASALT","CO","2","080370003022","81621","151 EAST COTTONWOOD DRIVE","West","Mountain","BASALT","233","20780","81621","(970)384-5800","Edwards, CO","Micropolitan statistical area","Colorado","39.3665","No","4935","-107.0322","0804935","Basalt town","Town, remote","Governmentally active (incorporated)","08008","8037","803","08005","State Senate District 8","08026","08061","State House District 61","State house district","Yes","Yes","Yes","Yes","242","","","","","","","","","","","","","0","","","","","","","","3","4","1","8.000","8.000","2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","43.000","42.240","1.000","2.000","0.000","44.000","38.000","12.000","5.850","1.000","3.750","0.000","5.500","0.250","1.000","0.000","0.000","No","2193933","2791028.250","2272913","145166.078","153090.031","298838.906","168828.000","Pre-K","Yes participating without using any Provision or the CEP","38","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080426000584","Basalt High School","CO","Roaring Fork School District No. Re-1","High","Regular school","No","12","No","No","Yes","455","04260","0800584","-107.0387","39.3563","0804260","Not applicable","Point address","CO-1180","Colorado","8097","1180-0570","600 SOUTHSIDE DRIVE","00700","100","BASALT","CO","1","080970001001","81621","600 SOUTHSIDE DRIVE","West","Mountain","BASALT","233","24060","81621","(970)384-5959","","","Colorado","39.3563","No","4935","-107.0387","0804935","Basalt town","Rural, fringe","Governmentally active (incorporated)","08005","8097","803","08005","State Senate District 5","08061","08061","State House District 61","State house district","Yes","Yes","Yes","Yes","537","","","","","","","","108","33","28","43","","203","237","49","55","","","17","132","10","18","3","82.000","25.000","-2.000","0","1","0","Missing/not reported","-1.000","-1.000","0","19","0.000","","","","","","","29.000","28.760","1.000","2.000","2.000","31.000","18.000","4.000","1.270","2.000","5.300","1.000","4.000","0.250","0.080","0.660","0.000","Yes","1519041","2027504.875","1241039","44225.680","215920.562","248317.203","208392.000","9","Yes participating without using any Provision or the CEP","27","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080426000133","Basalt Middle School","CO","Roaring Fork School District No. Re-1","Middle","Regular school","No","8","No","Yes","No","412","04260","0800133","-107.029182","39.365557","0804260","Not applicable","Point address","CO-1180","Colorado","8097","1180-0561","51 SCHOOL STREET","00700","100","BASALT","CO","1","080970001001","81621","51 SCHOOL STREET","West","Mountain","BASALT","233","24060","81621","(970)384-5900","","","Colorado","39.365557","No","4935","-107.029182","0804935","Basalt town","Town, remote","Governmentally active (incorporated)","08005","8097","803","08005","State Senate District 5","08061","08061","State House District 61","State house district","Yes","Yes","Yes","Yes","441","","","","","","","","","","","","","0","","","","","","","","11","8","0","38.000","9.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","30.000","29.810","1.000","3.000","2.000","31.000","22.000","5.000","1.250","2.000","4.000","0.000","4.000","1.000","0.080","0.330","0.000","Yes","1540548","2004162.125","1537918","28241.609","187055.125","248317.203","151638.000","5","Yes participating without using any Provision or the CEP","29","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080354006707","Battle Mountain Early College High School","CO","Eagle County School District No. Re 50","High","Regular school","No","12","No","No","Yes","4","03540","0806707","-106.588038","39.646049","0803540","Not applicable","","CO-0910","Colorado","8037","0910-0861","151 MILLER RANCH ROAD","00700","401","EDWARDS","CO","2","080370004012","81632","151 MILLER RANCH ROAD","West","Mountain","EDWARDS","233","20780","81632","(970)328-2930","Edwards, CO","Micropolitan statistical area","Colorado","39.646049","Yes","23300","-106.588038","0823300","Edwards CDP","Town, remote","Census-designated place","08008","8037","803","08005","State Senate District 8","08026","08056","State House District 56","State house district","Yes","Yes","Yes","No","8","","","","","","","","","","","","","0","","","","","","","","0","0","0","0.000","0.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","0.000","0.500","0.000","0.000","0.000","2.000","0.000","0.000","0.000","0.500","0.000","0.000","0.000","0.000","0.000","0.000","0.000","No","25470","25470.000","","-2.000","-2.000","-2.000","5000.000","9","No","1","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080354000461","Battle Mountain High School","CO","Eagle County School District No. Re 50","High","Regular school","No","12","No","No","Yes","904","03540","0800461","-106.583063","39.645155","0803540","Not applicable","Point address","CO-0910","Colorado","8037","0910-0604","151 MILLER RANCH ROAD","00700","401","EDWARDS","CO","2","080370004012","81620","151 MILLER RANCH ROAD","West","Mountain","EDWARDS","233","20780","81620","(970)328-2930","Edwards, CO","Micropolitan statistical area","Colorado","39.645155","Yes","23300","-106.583063","0823300","Edwards CDP","Town, remote","Census-designated place","08008","8037","803","08005","State Senate District 8","08026","08056","State House District 56","State house district","Yes","Yes","Yes","No","964","","","","","","","","344","106","161","200","","237","326","231","79","","","314","11","4","45","15","227.000","85.000","-2.000","5","1","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","49.000","49.790","0.000","7.000","2.000","51.000","42.000","24.000","0.960","3.950","5.250","0.000","5.530","0.380","0.000","0.000","0.000","No","2844481","3674851.500","1994927","51791.090","393260.625","385317.969","1068750.000","9","Yes participating without using any Provision or the CEP","53","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080309001093","Battle Rock Charter School","CO","Montezuma-Cortez School District No. Re-1","Primary","Regular school","Yes","6","Yes","No","No","83","03090","0801093","-108.8403","37.3368","0803090","Not applicable","Street address","CO-2035","Colorado","8083","2035-0609","11247 COUNTY ROAD G","00600","969200","CORTEZ","CO","2","080839692002","81321","11247 COUNTY ROAD G","West","Mountain","CORTEZ","Not applicable","Not applicable","81321","(970)565-3237","","","Colorado","37.3368","","","-108.8403","","","Rural, remote","","08006","8083","803","08006","State Senate District 6","08058","08058","State House District 58","State house district","No","Yes","Yes","No","85","","","","","","","","","","","","","0","","","","","","","","0","0","0","0.000","0.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","3.000","3.500","0.000","0.000","1.000","3.000","3.000","0.000","1.000","0.000","0.000","0.000","0.500","0.000","0.000","0.000","0.000","No","112427","145845.000","88282","10070.000","-2.000","23348.000","120729.000","Kindergarten","Yes participating without using any Provision or the CEP","6","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080399000519","Bauder Elementary School","CO","Poudre School District R-1","Primary","Regular school","No","5","Yes","No","No","495","03990","0800519","-105.1216","40.5669","0803990","Not applicable","Point address","CO-1550","Colorado","8069","1550-0612","2345 WEST PROSPECT ROAD","00200","1104","FORT COLLINS","CO","3","080690011043","80526","2345 WEST PROSPECT ROAD","West","Mountain","FORT COLLINS","Not applicable","22660","80526","(970)488-4150","Fort Collins-Loveland, CO","Metropolitan statistical area","Colorado","40.5669","Yes","27425","-105.1216","0827425","Fort Collins city","City, midsize","Governmentally active (incorporated)","08014","8069","802","08014","State Senate District 14","08053","08053","State House District 53","State house district","Yes","Yes","No","No","511","","","","","","","","","","","","","0","","","","","","","","6","3","3","13.000","13.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","37.000","37.200","0.000","1.000","13.700","38.000","36.000","26.000","3.880","0.000","1.620","0.000","3.160","0.000","0.000","0.000","0.000","No","1690576","2228416.750","1944988","169110.438","106245.812","262484.250","106928.000","Pre-K","Yes participating without using any Provision or the CEP","37","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
